model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1167TS215_1,0.835,0.754,0.688,0.8388671875
H1167TS462_1,0.843,0.701,0.688,0.82568359375
H1167TS215_5,0.816,0.708,0.688,0.7900390625
H1167TS462_2,0.839,0.717,0.682,0.8203125
H1167TS461_3,0.841,0.705,0.672,0.802734375
H1167TS446_3,0.841,0.705,0.672,0.802734375
H1167TS462_3,0.839,0.705,0.67,0.8056640625
H1167TS257_2,0.747,0.776,0.669,0.86181640625
H1167TS462_5,0.842,0.668,0.668,0.81591796875
H1167TS067_1,0.702,0.751,0.663,0.693359375
H1167TS067_2,0.703,0.756,0.663,0.69189453125
H1167TS433_1,0.798,0.697,0.659,0.8388671875
H1167TS215_3,0.837,0.749,0.659,0.826171875
H1167TS441_1,0.798,0.697,0.659,0.8388671875
H1167TS441_4,0.809,0.719,0.658,0.83154296875
H1167TS433_4,0.809,0.719,0.658,0.83154296875
H1167TS462_4,0.838,0.716,0.657,0.8232421875
H1167TS433_3,0.799,0.691,0.657,0.8369140625
H1167TS441_3,0.799,0.691,0.657,0.8369140625
H1167TS446_5,0.847,0.683,0.649,0.8095703125
H1167TS461_5,0.847,0.683,0.649,0.8095703125
H1167TS215_4,0.809,0.618,0.648,0.8125
H1167TS257_1,0.754,0.79,0.644,0.8662109375
H1167TS185_5,0.845,0.792,0.644,0.86865234375
H1167TS494_5,0.721,0.709,0.643,0.73291015625
H1167TS257_3,0.742,0.765,0.643,0.8623046875
H1167TS441_5,0.809,0.7,0.641,0.82470703125
H1167TS433_5,0.809,0.7,0.641,0.82470703125
H1167TS441_2,0.814,0.713,0.639,0.83447265625
H1167TS433_2,0.814,0.713,0.639,0.83447265625
H1167TS187_5,0.84,0.664,0.635,0.8388671875
H1167TS257_5,0.733,0.744,0.634,0.86328125
H1167TS257_4,0.735,0.726,0.632,0.861328125
H1167TS439_2,0.824,0.819,0.63,0.81982421875
H1167TS239_2,0.824,0.819,0.63,0.81982421875
H1167TS423_3,0.855,0.824,0.629,0.80810546875
H1167TS187_3,0.855,0.824,0.629,0.80810546875
H1167TS288_4,0.836,0.665,0.627,0.80322265625
H1167TS150_4,0.852,0.821,0.622,0.80810546875
H1167TS035_4,0.864,0.829,0.62,0.85107421875
H1167TS248_4,0.864,0.829,0.62,0.85107421875
H1167TS278_5,0.837,0.678,0.617,0.8173828125
H1167TS180_3,0.833,0.705,0.616,0.84521484375
H1167TS187_1,0.843,0.71,0.615,0.8251953125
H1167TS423_1,0.843,0.71,0.615,0.8251953125
H1167TS288_2,0.838,0.71,0.613,0.8095703125
H1167TS248_3,0.848,0.814,0.611,0.80126953125
H1167TS035_3,0.848,0.814,0.611,0.80126953125
H1167TS119_4,0.852,0.812,0.611,0.80322265625
H1167TS187_4,0.844,0.665,0.61,0.8349609375
H1167TS035_5,0.849,0.817,0.61,0.826171875
H1167TS423_4,0.844,0.665,0.61,0.8349609375
H1167TS248_5,0.849,0.817,0.61,0.826171875
H1167TS461_2,0.836,0.705,0.607,0.80859375
H1167TS446_2,0.836,0.705,0.607,0.80859375
H1167TS180_4,0.832,0.703,0.606,0.83935546875
H1167TS119_2,0.834,0.702,0.605,0.806640625
H1167TS150_5,0.847,0.784,0.604,0.80859375
H1167TS461_1,0.836,0.702,0.604,0.80126953125
H1167TS288_5,0.839,0.713,0.604,0.81884765625
H1167TS423_5,0.839,0.71,0.604,0.82080078125
H1167TS446_1,0.836,0.702,0.604,0.80126953125
H1167TS071_5,0.821,0.703,0.603,0.76806640625
H1167TS288_1,0.852,0.827,0.602,0.818359375
H1167TS035_2,0.839,0.815,0.601,0.798828125
H1167TS239_1,0.82,0.826,0.601,0.83203125
H1167TS423_2,0.84,0.705,0.601,0.82763671875
H1167TS248_2,0.839,0.815,0.601,0.798828125
H1167TS439_1,0.82,0.826,0.601,0.83203125
H1167TS187_2,0.84,0.705,0.601,0.82763671875
H1167TS446_4,0.832,0.704,0.6,0.810546875
H1167TS461_4,0.832,0.704,0.6,0.810546875
H1167TS180_2,0.833,0.707,0.6,0.84619140625
H1167TS188_5,0.732,0.693,0.6,0.86962890625
H1167TS348_5,0.836,0.699,0.6,0.8291015625
H1167TS239_5,0.809,0.703,0.599,0.82373046875
H1167TS150_3,0.838,0.679,0.599,0.80859375
H1167TS071_1,0.82,0.7,0.599,0.77978515625
H1167TS180_1,0.833,0.704,0.599,0.84375
H1167TS360_5,0.835,0.7,0.599,0.8203125
H1167TS439_5,0.809,0.703,0.599,0.82373046875
H1167TS180_5,0.836,0.648,0.599,0.84765625
H1167TS360_4,0.834,0.7,0.598,0.82080078125
H1167TS037_5,0.809,0.591,0.598,0.84326171875
H1167TS071_3,0.821,0.703,0.597,0.78271484375
H1167TS360_2,0.833,0.701,0.597,0.822265625
H1167TS185_4,0.846,0.77,0.597,0.8681640625
H1167TS131_4,0.856,0.821,0.596,0.8173828125
H1167TS185_2,0.851,0.819,0.596,0.88916015625
H1167TS071_4,0.822,0.665,0.596,0.7939453125
H1167TS477_1,0.833,0.706,0.596,0.806640625
H1167TS298_5,0.836,0.704,0.595,0.82666015625
H1167TS011_2,0.834,0.701,0.595,0.81591796875
H1167TS185_1,0.849,0.82,0.595,0.8935546875
H1167TS011_4,0.836,0.705,0.595,0.81787109375
H1167TS434_2,0.834,0.701,0.595,0.81591796875
H1167TS003_2,0.853,0.814,0.595,0.8310546875
H1167TS205_2,0.836,0.678,0.595,0.83544921875
H1167TS367_5,0.853,0.814,0.595,0.8310546875
H1167TS434_4,0.836,0.705,0.595,0.81787109375
H1167TS071_2,0.827,0.701,0.594,0.80517578125
