model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1140TS037_1,0.829,0.967,0.819,0.89453125
H1140TS374_1,0.786,0.916,0.678,0.783203125
H1140TS374_2,0.774,0.91,0.675,0.86865234375
H1140TS131_1,0.77,0.835,0.601,0.73193359375
H1140TS119_1,0.77,0.835,0.601,0.73193359375
H1140TS374_3,0.776,0.861,0.585,0.81103515625
H1140TS278_5,0.785,0.67,0.546,0.80322265625
H1140TS314_1,0.732,0.837,0.536,0.70068359375
H1140TS494_1,0.751,0.732,0.468,0.775390625
H1140TS494_3,0.746,0.724,0.426,0.76318359375
H1140TS444_1,0.74,0.77,0.396,0.73828125
H1140TS119_4,0.752,0.661,0.35,0.7353515625
H1140TS147_1,0.71,0.634,0.32,0.73876953125
H1140TS398_5,0.743,0.678,0.273,0.72998046875
H1140TS398_2,0.731,0.684,0.244,0.72607421875
H1140TS494_2,0.703,0.628,0.206,0.75390625
H1140TS434_4,0.754,0.63,0.176,0.7314453125
H1140TS011_4,0.754,0.63,0.176,0.7314453125
H1140TS227_3,0.753,0.628,0.168,0.73193359375
H1140TS133_3,0.753,0.628,0.168,0.73193359375
H1140TS169_5,0.753,0.624,0.158,0.7421875
H1140TS390_5,0.753,0.624,0.158,0.7421875
H1140TS320_5,0.753,0.624,0.158,0.7421875
H1140TS150_4,0.753,0.624,0.158,0.74462890625
H1140TS165_1,0.683,0.645,0.15,0.56396484375
H1140TS239_5,0.726,0.621,0.145,0.73291015625
H1140TS147_2,0.695,0.613,0.143,0.73583984375
H1140TS165_4,0.687,0.647,0.141,0.55029296875
H1140TS493_1,0.707,0.608,0.141,0.73486328125
H1140TS374_5,0.752,0.622,0.14,0.740234375
H1140TS298_1,0.754,0.622,0.139,0.74462890625
H1140TS248_3,0.751,0.621,0.136,0.720703125
H1140TS035_3,0.751,0.621,0.136,0.720703125
H1140TS312_4,0.732,0.668,0.135,0.7021484375
H1140TS444_4,0.729,0.62,0.132,0.7236328125
H1140TS125_1,0.75,0.621,0.131,0.7216796875
H1140TS054_1,0.75,0.621,0.131,0.7216796875
H1140TS399_1,0.75,0.621,0.131,0.7216796875
H1140TS462_1,0.744,0.618,0.13,0.75341796875
H1140TS188_3,0.743,0.618,0.129,0.8037109375
H1140TS348_3,0.753,0.621,0.122,0.7275390625
H1140TS314_5,0.753,0.621,0.122,0.7275390625
H1140TS320_2,0.753,0.621,0.122,0.7275390625
H1140TS169_2,0.753,0.621,0.122,0.7275390625
H1140TS390_2,0.753,0.621,0.122,0.7275390625
H1140TS312_5,0.734,0.621,0.121,0.70166015625
H1140TS444_5,0.727,0.627,0.12,0.82275390625
H1140TS444_2,0.735,0.636,0.12,0.73876953125
H1140TS239_3,0.736,0.614,0.119,0.7265625
H1140TS348_5,0.752,0.618,0.119,0.728515625
H1140TS073_4,0.689,0.603,0.116,0.7216796875
H1140TS462_5,0.752,0.616,0.115,0.75439453125
H1140TS067_1,0.71,0.751,0.114,0.6962890625
H1140TS390_1,0.748,0.619,0.113,0.7294921875
H1140TS169_1,0.748,0.619,0.113,0.7294921875
H1140TS320_1,0.748,0.619,0.113,0.72998046875
H1140TS150_1,0.748,0.619,0.113,0.74658203125
H1140TS477_1,0.711,0.614,0.113,0.701171875
H1140TS119_2,0.744,0.641,0.112,0.73486328125
H1140TS312_3,0.735,0.617,0.111,0.7021484375
H1140TS131_2,0.748,0.619,0.111,0.7197265625
H1140TS133_1,0.762,0.617,0.108,0.7314453125
