model,lDDToligo_True,lDDToligo_EnQA-MSA
T1121TS288_5o,0.792,0.80322265625
T1121TS444_4o,0.778,0.84619140625
T1121TS444_1o,0.777,0.84619140625
T1121TS446_2o,0.788,0.80419921875
T1121TS461_2o,0.788,0.80419921875
T1121TS447_1o,0.763,0.7099609375
T1121TS447_3o,0.756,0.7099609375
T1121TS447_5o,0.755,0.71044921875
T1121TS037_4o,0.779,0.84423828125
T1121TS494_4o,0.783,0.76708984375
T1121TS444_2o,0.769,0.84912109375
T1121TS447_4o,0.751,0.7099609375
T1121TS147_4o,0.72,0.8544921875
T1121TS239_3o,0.748,0.81884765625
T1121TS288_4o,0.781,0.7998046875
T1121TS239_5o,0.75,0.85791015625
T1121TS439_4o,0.751,0.8359375
T1121TS169_3o,0.778,0.81591796875
T1121TS239_2o,0.748,0.8212890625
T1121TS119_4o,0.775,0.8388671875
T1121TS119_5o,0.779,0.82421875
T1121TS461_5o,0.779,0.82421875
T1121TS091_3o,0.747,0.46533203125
T1121TS446_5o,0.779,0.82421875
T1121TS091_5o,0.744,0.475830078125
T1121TS493_3o,0.776,0.80322265625
T1121TS091_4o,0.746,0.479736328125
T1121TS091_2o,0.743,0.471435546875
T1121TS461_3o,0.778,0.833984375
T1121TS446_3o,0.778,0.833984375
T1121TS131_4o,0.731,0.81005859375
T1121TS398_2o,0.758,0.869140625
T1121TS385_1o,0.763,0.90576171875
T1121TS494_5o,0.767,0.7734375
T1121TS188_5o,0.771,0.80615234375
T1121TS398_5o,0.757,0.8681640625
T1121TS165_3o,0.755,0.84716796875
T1121TS278_4o,0.776,0.84375
T1121TS165_2o,0.753,0.865234375
T1121TS278_2o,0.763,0.87744140625
T1121TS185_4o,0.753,0.8037109375
T1121TS312_3o,0.768,0.708984375
T1121TS312_2o,0.768,0.708984375
T1121TS187_4o,0.765,0.806640625
T1121TS278_1o,0.703,0.79833984375
T1121TS312_1o,0.769,0.70947265625
T1121TS037_3o,0.763,0.861328125
T1121TS462_4o,0.775,0.86962890625
T1121TS150_4o,0.772,0.8408203125
T1121TS350_5o,0.768,0.71044921875
T1121TS205_5o,0.772,0.83349609375
T1121TS444_3o,0.77,0.8671875
T1121TS150_3o,0.774,0.8349609375
T1121TS374_1o,0.77,0.89306640625
T1121TS248_4o,0.773,0.86767578125
T1121TS446_4o,0.773,0.8271484375
T1121TS035_4o,0.773,0.86767578125
T1121TS461_4o,0.773,0.8271484375
T1121TS374_3o,0.772,0.88671875
T1121TS147_3o,0.713,0.85693359375
T1121TS185_1o,0.754,0.84765625
T1121TS180_5o,0.774,0.873046875
T1121TS374_2o,0.771,0.88720703125
T1121TS462_2o,0.771,0.89404296875
T1121TS185_5o,0.764,0.7998046875
T1121TS035_1o,0.772,0.90625
T1121TS312_4o,0.766,0.70947265625
T1121TS248_1o,0.772,0.90625
T1121TS462_3o,0.771,0.8916015625
T1121TS423_4o,0.77,0.78466796875
