model,lDDToligo_True,lDDToligo_EnQA-MSA
T1123TS439_5o,0.641,0.6474609375
T1123TS367_5o,0.654,0.47509765625
T1123TS494_3o,0.697,0.71240234375
T1123TS423_4o,0.699,0.5126953125
T1123TS187_4o,0.699,0.5126953125
T1123TS187_5o,0.681,0.51123046875
T1123TS423_5o,0.681,0.51123046875
T1123TS399_1o,0.63,0.478271484375
T1123TS054_1o,0.63,0.478271484375
T1123TS125_1o,0.63,0.478271484375
T1123TS278_4o,0.606,0.5390625
T1123TS158_5o,0.657,0.5244140625
T1123TS367_4o,0.684,0.51318359375
T1123TS494_1o,0.564,0.68994140625
T1123TS037_1o,0.69,0.52978515625
T1123TS374_3o,0.629,0.54345703125
T1123TS248_3o,0.675,0.53564453125
T1123TS367_1o,0.649,0.488525390625
T1123TS054_4o,0.596,0.48974609375
T1123TS399_4o,0.596,0.48974609375
T1123TS125_4o,0.596,0.48974609375
T1123TS374_1o,0.633,0.546875
T1123TS374_5o,0.636,0.47509765625
T1123TS439_2o,0.616,0.6484375
T1123TS439_3o,0.61,0.66552734375
T1123TS158_4o,0.673,0.52197265625
T1123TS086_5o,0.673,0.52197265625
T1123TS185_2o,0.639,0.62744140625
T1123TS367_2o,0.658,0.53662109375
T1123TS071_4o,0.631,0.48046875
T1123TS439_4o,0.623,0.60400390625
T1123TS071_1o,0.615,0.5234375
T1123TS071_5o,0.568,0.4755859375
T1123TS494_2o,0.594,0.68603515625
T1123TS374_4o,0.632,0.49658203125
T1123TS071_2o,0.607,0.5107421875
T1123TS185_1o,0.671,0.63134765625
T1123TS071_3o,0.619,0.501953125
T1123TS158_3o,0.64,0.529296875
T1123TS086_3o,0.64,0.529296875
T1123TS003_5o,0.64,0.529296875
T1123TS003_3o,0.644,0.5576171875
T1123TS374_2o,0.612,0.5166015625
T1123TS239_1o,0.641,0.576171875
T1123TS003_2o,0.679,0.56396484375
T1123TS086_4o,0.663,0.5283203125
T1123TS288_2o,0.668,0.61865234375
T1123TS367_3o,0.67,0.5166015625
T1123TS073_2o,0.653,0.61572265625
T1123TS003_1o,0.667,0.56982421875
T1123TS158_1o,0.657,0.5400390625
T1123TS086_1o,0.657,0.5400390625
T1123TS399_5o,0.623,0.50732421875
T1123TS054_5o,0.623,0.50732421875
T1123TS125_5o,0.623,0.50732421875
T1123TS494_4o,0.584,0.67919921875
T1123TS278_1o,0.65,0.51318359375
T1123TS003_4o,0.673,0.57373046875
T1123TS185_4o,0.6,0.6728515625
T1123TS073_1o,0.681,0.5908203125
T1123TS288_1o,0.704,0.5947265625
T1123TS037_4o,0.611,0.4951171875
T1123TS119_1o,0.576,0.490478515625
T1123TS248_2o,0.644,0.55908203125
T1123TS073_3o,0.628,0.55029296875
T1123TS288_3o,0.642,0.55322265625
T1123TS073_4o,0.624,0.55908203125
T1123TS119_2o,0.572,0.48974609375
T1123TS037_5o,0.59,0.468017578125
T1123TS073_5o,0.639,0.54052734375
T1123TS288_4o,0.644,0.5546875
T1123TS187_3o,0.586,0.447021484375
T1123TS288_5o,0.65,0.53955078125
T1123TS423_3o,0.586,0.447021484375
T1123TS423_2o,0.706,0.61279296875
T1123TS187_2o,0.706,0.61279296875
T1123TS165_1o,0.552,0.452880859375
T1123TS035_1o,0.632,0.61474609375
T1123TS035_3o,0.592,0.54833984375
T1123TS248_1o,0.592,0.54833984375
T1123TS150_1o,0.575,0.447509765625
T1123TS239_2o,0.562,0.521484375
T1123TS131_1o,0.58,0.48388671875
T1123TS119_3o,0.58,0.48388671875
T1123TS248_5o,0.604,0.52587890625
T1123TS390_2o,0.579,0.448486328125
T1123TS086_2o,0.646,0.541015625
T1123TS158_2o,0.646,0.541015625
T1123TS493_2o,0.57,0.4453125
T1123TS180_3o,0.619,0.50732421875
T1123TS147_4o,0.441,0.4482421875
T1123TS037_3o,0.651,0.56689453125
T1123TS185_3o,0.551,0.64892578125
T1123TS125_3o,0.349,0.4619140625
T1123TS054_3o,0.349,0.4619140625
T1123TS399_3o,0.349,0.4619140625
T1123TS180_4o,0.624,0.51123046875
T1123TS131_2o,0.389,0.4072265625
T1123TS180_2o,0.589,0.5478515625
T1123TS239_3o,0.564,0.486572265625
T1123TS119_4o,0.571,0.486328125
T1123TS165_2o,0.541,0.55908203125
T1123TS439_1o,0.612,0.64892578125
T1123TS035_5o,0.546,0.54443359375
T1123TS248_4o,0.546,0.54443359375
T1123TS091_3o,0.458,0.77880859375
T1123TS185_5o,0.634,0.65625
T1123TS091_4o,0.456,0.7314453125
T1123TS119_5o,0.558,0.490966796875
T1123TS147_2o,0.449,0.451904296875
T1123TS180_1o,0.616,0.55029296875
T1123TS312_5o,0.566,0.697265625
T1123TS091_2o,0.455,0.8173828125
T1123TS398_5o,0.555,0.470458984375
T1123TS314_1o,0.598,0.69580078125
T1123TS390_4o,0.56,0.456298828125
T1123TS444_3o,0.559,0.626953125
T1123TS035_2o,0.542,0.60546875
T1123TS444_1o,0.557,0.6240234375
T1123TS444_5o,0.557,0.62109375
T1123TS493_1o,0.558,0.4638671875
T1123TS390_1o,0.567,0.465576171875
T1123TS320_1o,0.567,0.4658203125
T1123TS091_1o,0.466,0.81396484375
T1123TS312_3o,0.563,0.69580078125
T1123TS312_1o,0.564,0.69677734375
T1123TS312_2o,0.563,0.69580078125
T1123TS037_2o,0.594,0.54541015625
T1123TS446_1o,0.394,0.4052734375
T1123TS461_1o,0.394,0.4052734375
T1123TS314_2o,0.572,0.6953125
T1123TS180_5o,0.583,0.50244140625
T1123TS165_3o,0.558,0.5380859375
T1123TS314_4o,0.623,0.693359375
T1123TS147_5o,0.512,0.491455078125
T1123TS444_4o,0.545,0.62548828125
T1123TS360_5o,0.566,0.4658203125
T1123TS390_5o,0.566,0.465576171875
T1123TS314_5o,0.62,0.6943359375
T1123TS348_4o,0.309,0.454345703125
T1123TS444_2o,0.543,0.6240234375
T1123TS398_4o,0.537,0.44775390625
T1123TS147_1o,0.511,0.49072265625
T1123TS150_3o,0.567,0.464111328125
T1123TS348_5o,0.516,0.41845703125
T1123TS298_1o,0.464,0.41796875
T1123TS147_3o,0.52,0.48974609375
T1123TS278_2o,0.587,0.552734375
T1123TS398_1o,0.531,0.46240234375
T1123TS098_2o,0.448,0.494140625
