model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
T1113TS278_4o,0.908,0.963,0.968,0.85546875
T1113TS248_2o,0.92,0.974,0.968,0.87451171875
T1113TS278_1o,0.921,0.944,0.967,0.88232421875
T1113TS239_2o,0.913,0.938,0.967,0.88720703125
T1113TS288_1o,0.923,0.942,0.967,0.87451171875
T1113TS278_3o,0.911,0.96,0.967,0.87158203125
T1113TS201_3o,0.918,0.94,0.966,0.87548828125
T1113TS035_1o,0.917,0.955,0.966,0.875
T1113TS439_4o,0.908,0.94,0.966,0.88818359375
T1113TS187_2o,0.922,0.947,0.966,0.875
T1113TS374_1o,0.917,0.941,0.966,0.88916015625
T1113TS278_2o,0.914,0.958,0.966,0.8779296875
T1113TS423_2o,0.922,0.947,0.966,0.875
T1113TS239_1o,0.909,0.944,0.966,0.8876953125
T1113TS446_4o,0.92,0.93,0.965,0.865234375
T1113TS439_5o,0.914,0.932,0.965,0.8818359375
T1113TS201_5o,0.918,0.929,0.965,0.8701171875
T1113TS187_3o,0.923,0.927,0.965,0.87548828125
T1113TS423_3o,0.923,0.927,0.965,0.87548828125
T1113TS439_3o,0.9,0.98,0.965,0.86962890625
T1113TS446_3o,0.914,0.941,0.965,0.87548828125
T1113TS461_3o,0.914,0.941,0.965,0.87548828125
T1113TS461_4o,0.92,0.93,0.965,0.865234375
T1113TS494_1o,0.912,0.932,0.965,0.68505859375
T1113TS439_2o,0.908,0.93,0.965,0.861328125
T1113TS201_4o,0.915,0.925,0.965,0.8662109375
T1113TS439_1o,0.906,0.931,0.965,0.88720703125
T1113TS119_2o,0.917,0.929,0.964,0.806640625
T1113TS201_2o,0.915,0.94,0.964,0.873046875
T1113TS446_2o,0.918,0.933,0.964,0.8681640625
T1113TS119_5o,0.918,0.933,0.964,0.80615234375
T1113TS461_2o,0.918,0.933,0.964,0.8681640625
T1113TS461_1o,0.917,0.929,0.964,0.87841796875
T1113TS201_1o,0.917,0.929,0.964,0.8671875
T1113TS446_1o,0.917,0.929,0.964,0.87841796875
T1113TS350_1o,0.905,0.924,0.962,0.69677734375
T1113TS462_3o,0.913,0.908,0.959,0.91259765625
T1113TS462_5o,0.911,0.902,0.959,0.908203125
T1113TS462_4o,0.911,0.905,0.958,0.90869140625
T1113TS462_1o,0.91,0.898,0.957,0.9130859375
T1113TS374_4o,0.898,0.796,0.957,0.87109375
T1113TS374_5o,0.906,0.919,0.956,0.88037109375
T1113TS288_3o,0.877,0.81,0.956,0.8408203125
T1113TS462_2o,0.904,0.906,0.954,0.91455078125
T1113TS185_1o,0.895,0.876,0.953,0.8759765625
T1113TS169_1o,0.895,0.876,0.953,0.8759765625
T1113TS185_2o,0.879,0.853,0.943,0.875
T1113TS071_1o,0.873,0.904,0.942,0.82763671875
T1113TS185_3o,0.873,0.857,0.941,0.859375
T1113TS073_1o,0.821,0.909,0.941,0.85498046875
T1113TS073_2o,0.811,0.89,0.94,0.84619140625
T1113TS073_5o,0.826,0.929,0.939,0.857421875
T1113TS071_5o,0.86,0.927,0.938,0.80712890625
T1113TS073_4o,0.812,0.852,0.936,0.84765625
T1113TS073_3o,0.812,0.868,0.934,0.85693359375
T1113TS037_2o,0.835,0.815,0.891,0.80224609375
T1113TS298_5o,0.867,0.906,0.889,0.81494140625
T1113TS461_5o,0.865,0.885,0.888,0.80859375
T1113TS446_5o,0.865,0.885,0.888,0.80859375
T1113TS298_2o,0.865,0.906,0.887,0.86279296875
T1113TS180_5o,0.852,0.867,0.886,0.9091796875
T1113TS350_2o,0.855,0.892,0.886,0.6962890625
T1113TS180_4o,0.852,0.872,0.885,0.91015625
T1113TS288_2o,0.871,0.892,0.885,0.83203125
T1113TS180_1o,0.851,0.866,0.882,0.916015625
T1113TS248_3o,0.841,0.826,0.879,0.83154296875
T1113TS147_5o,0.823,0.91,0.877,0.81005859375
T1113TS444_4o,0.862,0.927,0.877,0.8720703125
T1113TS131_4o,0.876,0.937,0.876,0.83056640625
T1113TS185_5o,0.835,0.792,0.875,0.84130859375
T1113TS180_2o,0.852,0.879,0.873,0.90869140625
T1113TS187_1o,0.868,0.85,0.873,0.84423828125
T1113TS423_1o,0.868,0.85,0.873,0.84423828125
T1113TS180_3o,0.852,0.874,0.873,0.91162109375
T1113TS390_5o,0.863,0.91,0.872,0.80712890625
T1113TS320_5o,0.863,0.91,0.872,0.8076171875
T1113TS150_5o,0.863,0.91,0.872,0.8076171875
T1113TS444_3o,0.852,0.905,0.872,0.81787109375
T1113TS348_2o,0.863,0.91,0.872,0.8076171875
T1113TS091_5o,0.762,0.906,0.87,0.445068359375
T1113TS003_4o,0.881,0.93,0.87,0.87939453125
T1113TS288_4o,0.886,0.919,0.87,0.83837890625
T1113TS086_1o,0.881,0.93,0.87,0.87939453125
T1113TS158_1o,0.881,0.93,0.87,0.87939453125
T1113TS158_2o,0.884,0.929,0.867,0.8779296875
T1113TS003_5o,0.884,0.929,0.867,0.8779296875
T1113TS086_4o,0.884,0.929,0.867,0.8779296875
T1113TS086_3o,0.884,0.933,0.866,0.8818359375
T1113TS158_3o,0.884,0.933,0.866,0.8818359375
T1113TS367_1o,0.885,0.919,0.865,0.8486328125
T1113TS239_4o,0.874,0.924,0.864,0.84814453125
T1113TS147_2o,0.835,0.901,0.861,0.83056640625
T1113TS444_2o,0.861,0.909,0.861,0.8701171875
T1113TS248_1o,0.866,0.924,0.86,0.837890625
T1113TS239_5o,0.877,0.906,0.859,0.8525390625
T1113TS390_2o,0.845,0.902,0.857,0.80810546875
T1113TS348_5o,0.845,0.896,0.857,0.78955078125
T1113TS360_5o,0.845,0.896,0.857,0.78955078125
T1113TS150_2o,0.845,0.902,0.857,0.80810546875
T1113TS320_2o,0.845,0.902,0.857,0.80810546875
T1113TS447_5o,0.874,0.887,0.857,0.70947265625
T1113TS147_4o,0.838,0.902,0.856,0.82763671875
T1113TS350_5o,0.855,0.921,0.855,0.6953125
T1113TS360_3o,0.837,0.904,0.855,0.763671875
T1113TS037_1o,0.875,0.911,0.855,0.84619140625
T1113TS150_3o,0.876,0.895,0.855,0.82421875
T1113TS320_3o,0.876,0.895,0.855,0.82421875
T1113TS390_3o,0.876,0.895,0.855,0.82421875
T1113TS390_1o,0.863,0.914,0.854,0.80078125
T1113TS150_1o,0.863,0.914,0.854,0.80078125
T1113TS320_1o,0.863,0.914,0.854,0.80078125
T1113TS147_3o,0.846,0.893,0.854,0.82421875
T1113TS119_3o,0.863,0.914,0.854,0.80078125
T1113TS399_4o,0.836,0.908,0.853,0.78173828125
T1113TS054_4o,0.836,0.908,0.853,0.78173828125
T1113TS147_1o,0.847,0.912,0.853,0.8173828125
T1113TS360_1o,0.835,0.908,0.853,0.76416015625
T1113TS071_2o,0.843,0.904,0.852,0.80126953125
T1113TS348_1o,0.849,0.906,0.852,0.78271484375
T1113TS003_2o,0.851,0.929,0.852,0.8681640625
T1113TS367_4o,0.858,0.912,0.852,0.82568359375
T1113TS374_3o,0.846,0.933,0.852,0.80908203125
T1113TS374_2o,0.856,0.937,0.852,0.86669921875
T1113TS367_5o,0.871,0.913,0.852,0.837890625
T1113TS086_2o,0.849,0.923,0.851,0.85986328125
T1113TS158_4o,0.849,0.923,0.851,0.85986328125
T1113TS071_4o,0.846,0.925,0.851,0.798828125
T1113TS399_3o,0.846,0.893,0.851,0.79541015625
T1113TS298_3o,0.834,0.901,0.851,0.8046875
T1113TS054_3o,0.846,0.893,0.851,0.79541015625
T1113TS423_5o,0.842,0.897,0.85,0.787109375
T1113TS360_2o,0.838,0.891,0.85,0.810546875
T1113TS444_1o,0.854,0.883,0.85,0.85595703125
T1113TS125_2o,0.844,0.916,0.85,0.787109375
T1113TS360_4o,0.834,0.899,0.85,0.76318359375
T1113TS125_3o,0.831,0.901,0.85,0.765625
T1113TS348_4o,0.846,0.894,0.85,0.794921875
T1113TS298_4o,0.838,0.891,0.85,0.810546875
T1113TS288_5o,0.833,0.901,0.85,0.79638671875
T1113TS187_5o,0.842,0.897,0.85,0.787109375
T1113TS350_4o,0.82,0.899,0.849,0.69384765625
T1113TS390_4o,0.876,0.903,0.849,0.8310546875
T1113TS150_4o,0.876,0.903,0.849,0.8310546875
T1113TS320_4o,0.876,0.903,0.849,0.8310546875
T1113TS350_3o,0.81,0.895,0.848,0.69580078125
T1113TS367_2o,0.87,0.914,0.848,0.8359375
