model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1166TS360_3,0.832,0.744,0.733,0.7666015625
H1166TS150_4,0.831,0.6,0.721,0.7578125
H1166TS494_2,0.822,0.698,0.712,0.748046875
H1166TS248_3,0.817,0.803,0.699,0.77392578125
H1166TS035_3,0.817,0.803,0.699,0.77392578125
H1166TS071_2,0.809,0.743,0.693,0.73388671875
H1166TS119_3,0.833,0.628,0.689,0.7763671875
H1166TS227_5,0.84,0.608,0.687,0.76953125
H1166TS133_5,0.84,0.608,0.687,0.76953125
H1166TS119_5,0.835,0.784,0.684,0.7548828125
H1166TS360_5,0.825,0.742,0.68,0.77685546875
H1166TS086_2,0.823,0.692,0.68,0.76806640625
H1166TS360_2,0.824,0.722,0.68,0.76708984375
H1166TS360_1,0.824,0.731,0.68,0.7724609375
H1166TS360_4,0.823,0.703,0.678,0.767578125
H1166TS205_3,0.751,0.618,0.678,0.705078125
H1166TS390_5,0.827,0.607,0.673,0.7841796875
H1166TS098_4,0.827,0.607,0.673,0.7841796875
H1166TS320_5,0.827,0.607,0.673,0.78466796875
H1166TS239_3,0.815,0.803,0.669,0.77783203125
H1166TS298_1,0.825,0.617,0.669,0.78076171875
H1166TS011_4,0.833,0.765,0.668,0.7578125
H1166TS434_4,0.833,0.765,0.668,0.7578125
H1166TS298_2,0.831,0.613,0.668,0.77783203125
H1166TS367_3,0.829,0.69,0.667,0.77392578125
H1166TS350_5,0.801,0.788,0.667,0.70556640625
H1166TS291_5,0.801,0.788,0.667,0.70556640625
H1166TS188_3,0.812,0.602,0.666,0.70458984375
H1166TS119_1,0.829,0.777,0.666,0.7275390625
H1166TS131_4,0.829,0.777,0.666,0.7275390625
H1166TS298_3,0.826,0.618,0.665,0.7763671875
H1166TS433_3,0.794,0.656,0.66,0.796875
H1166TS441_3,0.794,0.656,0.66,0.796875
H1166TS150_5,0.833,0.796,0.658,0.76025390625
H1166TS348_2,0.833,0.796,0.658,0.76025390625
H1166TS434_1,0.825,0.615,0.655,0.76416015625
H1166TS011_1,0.825,0.615,0.655,0.76416015625
H1166TS169_4,0.824,0.611,0.651,0.7783203125
H1166TS150_2,0.824,0.611,0.651,0.7587890625
H1166TS188_5,0.824,0.611,0.651,0.7783203125
H1166TS314_4,0.824,0.611,0.651,0.77880859375
H1166TS320_4,0.824,0.611,0.651,0.77880859375
H1166TS390_4,0.824,0.611,0.651,0.7783203125
H1166TS348_5,0.824,0.611,0.651,0.77880859375
H1166TS433_2,0.791,0.771,0.649,0.78466796875
H1166TS441_2,0.791,0.771,0.649,0.78466796875
H1166TS227_4,0.825,0.627,0.646,0.76904296875
H1166TS133_4,0.825,0.627,0.646,0.76904296875
H1166TS461_3,0.825,0.633,0.644,0.77490234375
H1166TS446_3,0.825,0.633,0.644,0.77490234375
H1166TS187_5,0.825,0.667,0.644,0.77099609375
H1166TS187_4,0.825,0.745,0.643,0.76904296875
H1166TS158_4,0.828,0.684,0.643,0.7841796875
H1166TS011_3,0.831,0.778,0.642,0.76953125
H1166TS434_3,0.831,0.778,0.642,0.76953125
H1166TS461_2,0.825,0.764,0.641,0.75048828125
H1166TS446_2,0.825,0.764,0.641,0.75048828125
H1166TS158_3,0.825,0.609,0.64,0.78125
H1166TS462_1,0.823,0.736,0.64,0.771484375
H1166TS298_5,0.827,0.637,0.64,0.77587890625
H1166TS348_4,0.827,0.614,0.637,0.787109375
H1166TS374_2,0.817,0.78,0.631,0.70751953125
H1166TS433_5,0.792,0.752,0.63,0.7802734375
H1166TS441_5,0.792,0.752,0.63,0.7802734375
H1166TS205_2,0.762,0.633,0.628,0.703125
H1166TS133_2,0.836,0.629,0.627,0.7724609375
H1166TS227_2,0.836,0.629,0.627,0.7724609375
H1166TS071_1,0.821,0.62,0.626,0.76416015625
H1166TS180_1,0.834,0.793,0.621,0.8017578125
H1166TS071_4,0.817,0.639,0.621,0.76318359375
H1166TS446_5,0.822,0.666,0.621,0.76220703125
H1166TS461_5,0.822,0.666,0.621,0.76220703125
H1166TS288_5,0.822,0.619,0.617,0.76220703125
H1166TS462_2,0.821,0.739,0.615,0.7646484375
H1166TS350_4,0.816,0.769,0.615,0.7060546875
H1166TS291_4,0.816,0.769,0.615,0.7060546875
H1166TS071_5,0.799,0.613,0.614,0.7431640625
H1166TS158_2,0.824,0.613,0.614,0.77685546875
H1166TS003_4,0.824,0.613,0.614,0.77685546875
H1166TS071_3,0.82,0.678,0.612,0.767578125
H1166TS350_3,0.82,0.758,0.609,0.70556640625
H1166TS291_3,0.82,0.758,0.609,0.70556640625
H1166TS434_5,0.824,0.776,0.608,0.76806640625
H1166TS011_5,0.824,0.776,0.608,0.76806640625
H1166TS462_3,0.82,0.637,0.606,0.783203125
H1166TS180_3,0.834,0.781,0.603,0.79638671875
H1166TS239_2,0.798,0.625,0.603,0.783203125
H1166TS291_2,0.815,0.757,0.603,0.70654296875
H1166TS133_1,0.826,0.611,0.603,0.7880859375
H1166TS227_1,0.826,0.611,0.603,0.7880859375
H1166TS350_2,0.815,0.757,0.603,0.70654296875
H1166TS180_4,0.834,0.775,0.601,0.80322265625
H1166TS462_4,0.818,0.748,0.6,0.7783203125
H1166TS278_5,0.708,0.612,0.599,0.7705078125
H1166TS239_4,0.795,0.647,0.599,0.7587890625
H1166TS423_2,0.814,0.772,0.599,0.79638671875
H1166TS314_1,0.832,0.797,0.599,0.70458984375
H1166TS187_2,0.814,0.772,0.599,0.79638671875
H1166TS227_3,0.835,0.771,0.596,0.76904296875
H1166TS133_3,0.835,0.771,0.596,0.76904296875
H1166TS180_5,0.835,0.787,0.596,0.80517578125
H1166TS434_2,0.823,0.773,0.594,0.77197265625
H1166TS011_2,0.823,0.773,0.594,0.77197265625
H1166TS131_5,0.831,0.779,0.594,0.7646484375
H1166TS185_1,0.829,0.818,0.594,0.84912109375
