model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
T1109TS239_1o,0.848,0.96,0.926,0.91455078125
T1109TS439_2o,0.848,0.96,0.926,0.91455078125
T1109TS278_2o,0.869,0.959,0.923,0.80078125
T1109TS239_5o,0.847,0.959,0.921,0.8583984375
T1109TS035_2o,0.888,0.965,0.913,0.830078125
T1109TS037_4o,0.899,0.975,0.91,0.87451171875
T1109TS037_3o,0.885,0.966,0.909,0.8916015625
T1109TS239_3o,0.854,0.964,0.906,0.81787109375
T1109TS119_4o,0.867,0.963,0.903,0.82861328125
T1109TS131_1o,0.867,0.963,0.903,0.82861328125
T1109TS131_3o,0.865,0.963,0.9,0.82421875
T1109TS131_4o,0.867,0.963,0.896,0.81005859375
T1109TS494_1o,0.868,0.96,0.887,0.79052734375
T1109TS374_1o,0.875,0.96,0.886,0.845703125
T1109TS035_5o,0.796,0.953,0.875,0.65234375
T1109TS374_3o,0.885,0.967,0.864,0.8037109375
T1109TS119_2o,0.811,0.957,0.858,0.81884765625
T1109TS035_4o,0.809,0.947,0.824,0.54248046875
T1109TS248_5o,0.809,0.947,0.824,0.54248046875
T1109TS278_5o,0.83,0.905,0.575,0.845703125
T1109TS185_4o,0.799,0.902,0.562,0.89599609375
T1109TS185_3o,0.799,0.903,0.558,0.89697265625
T1109TS185_1o,0.797,0.899,0.555,0.90283203125
T1109TS185_2o,0.796,0.899,0.551,0.90380859375
T1109TS037_5o,0.839,0.91,0.547,0.87060546875
T1109TS185_5o,0.792,0.897,0.544,0.89990234375
T1109TS239_4o,0.807,0.905,0.486,0.75439453125
T1109TS447_1o,0.807,0.903,0.485,0.701171875
T1109TS447_2o,0.807,0.903,0.485,0.701171875
T1109TS119_5o,0.79,0.897,0.482,0.8095703125
T1109TS447_4o,0.801,0.9,0.479,0.70068359375
T1109TS447_5o,0.801,0.9,0.479,0.70068359375
T1109TS447_3o,0.801,0.9,0.479,0.70068359375
T1109TS119_1o,0.801,0.899,0.478,0.81396484375
T1109TS398_1o,0.787,0.891,0.477,0.91357421875
T1109TS444_4o,0.809,0.896,0.477,0.9052734375
T1109TS091_3o,0.771,0.904,0.477,0.5947265625
T1109TS037_2o,0.854,0.908,0.477,0.8798828125
T1109TS444_5o,0.807,0.899,0.475,0.91064453125
T1109TS091_5o,0.769,0.901,0.475,0.58837890625
T1109TS091_4o,0.763,0.904,0.471,0.57763671875
T1109TS278_1o,0.82,0.897,0.469,0.89453125
T1109TS131_5o,0.826,0.897,0.469,0.84375
T1109TS119_3o,0.83,0.9,0.469,0.826171875
T1109TS131_2o,0.83,0.9,0.469,0.86181640625
T1109TS462_1o,0.838,0.903,0.466,0.9296875
T1109TS180_1o,0.838,0.903,0.466,0.9296875
T1109TS003_2o,0.834,0.905,0.466,0.7890625
T1109TS180_2o,0.836,0.903,0.465,0.9306640625
T1109TS201_3o,0.843,0.905,0.465,0.89501953125
T1109TS462_2o,0.836,0.903,0.465,0.9306640625
T1109TS188_5o,0.831,0.902,0.465,0.88037109375
T1109TS125_2o,0.834,0.902,0.464,0.8994140625
T1109TS444_1o,0.812,0.901,0.464,0.9111328125
T1109TS477_1o,0.837,0.903,0.464,0.921875
T1109TS091_2o,0.767,0.9,0.464,0.58740234375
T1109TS180_5o,0.837,0.903,0.464,0.9228515625
T1109TS462_5o,0.837,0.903,0.464,0.9228515625
T1109TS298_5o,0.845,0.905,0.464,0.8896484375
T1109TS360_3o,0.843,0.906,0.464,0.88037109375
T1109TS360_1o,0.845,0.905,0.463,0.87646484375
T1109TS348_1o,0.839,0.903,0.463,0.89697265625
T1109TS125_3o,0.855,0.914,0.463,0.89306640625
T1109TS374_5o,0.838,0.905,0.463,0.90625
T1109TS187_5o,0.829,0.903,0.463,0.82177734375
T1109TS423_5o,0.829,0.903,0.463,0.82177734375
T1109TS188_4o,0.827,0.9,0.463,0.890625
T1109TS439_1o,0.817,0.903,0.463,0.90283203125
T1109TS288_5o,0.836,0.905,0.463,0.8876953125
T1109TS180_3o,0.837,0.903,0.463,0.9306640625
T1109TS462_3o,0.837,0.903,0.463,0.9306640625
T1109TS461_1o,0.836,0.903,0.462,0.90673828125
T1109TS314_4o,0.843,0.906,0.462,0.880859375
T1109TS446_4o,0.837,0.905,0.462,0.892578125
T1109TS091_1o,0.778,0.903,0.462,0.5888671875
T1109TS125_5o,0.845,0.904,0.462,0.8828125
T1109TS003_3o,0.834,0.903,0.462,0.873046875
T1109TS446_1o,0.836,0.903,0.462,0.90673828125
T1109TS461_4o,0.837,0.905,0.462,0.892578125
T1109TS360_4o,0.844,0.906,0.462,0.88330078125
T1109TS003_5o,0.841,0.906,0.462,0.86767578125
T1109TS288_2o,0.835,0.903,0.462,0.892578125
T1109TS003_1o,0.84,0.906,0.462,0.85986328125
T1109TS205_3o,0.842,0.906,0.462,0.88134765625
T1109TS201_1o,0.838,0.903,0.462,0.908203125
T1109TS423_4o,0.793,0.891,0.461,0.7578125
T1109TS374_4o,0.836,0.903,0.461,0.90185546875
T1109TS003_4o,0.833,0.903,0.461,0.87646484375
T1109TS180_4o,0.837,0.903,0.461,0.92724609375
T1109TS288_3o,0.837,0.904,0.461,0.89111328125
T1109TS239_2o,0.82,0.903,0.461,0.90380859375
T1109TS291_3o,0.829,0.904,0.461,0.7099609375
T1109TS350_3o,0.829,0.904,0.461,0.7099609375
T1109TS187_4o,0.793,0.891,0.461,0.7578125
T1109TS288_1o,0.838,0.904,0.461,0.8935546875
T1109TS439_3o,0.82,0.903,0.461,0.90380859375
T1109TS360_2o,0.844,0.906,0.461,0.87890625
T1109TS288_4o,0.836,0.904,0.461,0.88916015625
T1109TS360_5o,0.845,0.905,0.461,0.88037109375
T1109TS462_4o,0.837,0.903,0.461,0.92724609375
T1109TS158_5o,0.839,0.905,0.46,0.89208984375
T1109TS390_4o,0.844,0.905,0.46,0.8984375
T1109TS446_5o,0.842,0.906,0.46,0.8857421875
T1109TS374_2o,0.838,0.904,0.46,0.90087890625
T1109TS461_5o,0.842,0.906,0.46,0.8857421875
T1109TS348_3o,0.841,0.904,0.46,0.8994140625
T1109TS439_5o,0.82,0.905,0.46,0.8916015625
T1109TS201_5o,0.842,0.906,0.46,0.884765625
T1109TS320_4o,0.844,0.905,0.46,0.8984375
T1109TS390_1o,0.838,0.903,0.459,0.904296875
T1109TS320_2o,0.839,0.904,0.459,0.900390625
T1109TS367_5o,0.839,0.903,0.459,0.8994140625
T1109TS037_1o,0.838,0.903,0.459,0.91015625
T1109TS298_3o,0.844,0.905,0.459,0.8916015625
T1109TS201_2o,0.842,0.904,0.459,0.90380859375
T1109TS054_5o,0.841,0.905,0.459,0.8916015625
T1109TS125_1o,0.841,0.905,0.459,0.8916015625
T1109TS291_2o,0.83,0.904,0.459,0.7099609375
T1109TS298_4o,0.844,0.905,0.459,0.88671875
T1109TS320_5o,0.841,0.906,0.459,0.8876953125
T1109TS350_2o,0.83,0.904,0.459,0.7099609375
T1109TS298_2o,0.838,0.903,0.459,0.90185546875
T1109TS390_3o,0.839,0.905,0.459,0.8916015625
T1109TS158_4o,0.841,0.904,0.459,0.89208984375
T1109TS298_1o,0.839,0.903,0.459,0.9013671875
T1109TS390_2o,0.839,0.904,0.459,0.900390625
T1109TS399_5o,0.841,0.905,0.459,0.8916015625
T1109TS205_1o,0.839,0.904,0.459,0.90234375
T1109TS348_5o,0.841,0.906,0.459,0.8876953125
T1109TS439_4o,0.822,0.904,0.459,0.89697265625
T1109TS348_4o,0.841,0.904,0.459,0.90185546875
T1109TS390_5o,0.841,0.906,0.459,0.8876953125
T1109TS446_3o,0.826,0.904,0.459,0.90966796875
T1109TS461_3o,0.826,0.904,0.459,0.90966796875
T1109TS125_4o,0.843,0.905,0.459,0.88720703125
T1109TS320_3o,0.839,0.905,0.459,0.89208984375
T1109TS320_1o,0.838,0.903,0.459,0.904296875
T1109TS205_2o,0.843,0.905,0.459,0.88818359375
T1109TS201_4o,0.838,0.904,0.459,0.8994140625
T1109TS188_3o,0.843,0.905,0.458,0.8935546875
T1109TS169_4o,0.841,0.904,0.458,0.88818359375
T1109TS035_1o,0.839,0.903,0.458,0.90234375
T1109TS071_2o,0.839,0.904,0.458,0.88671875
T1109TS248_2o,0.839,0.903,0.458,0.90234375
T1109TS071_5o,0.836,0.903,0.458,0.87841796875
T1109TS461_2o,0.832,0.905,0.458,0.900390625
T1109TS169_2o,0.841,0.905,0.458,0.88916015625
T1109TS169_1o,0.843,0.905,0.458,0.8935546875
T1109TS098_1o,0.843,0.905,0.458,0.9228515625
T1109TS098_5o,0.841,0.905,0.458,0.88916015625
T1109TS054_2o,0.841,0.907,0.458,0.8046875
T1109TS367_4o,0.839,0.903,0.458,0.90234375
T1109TS098_4o,0.841,0.904,0.458,0.88818359375
T1109TS446_2o,0.832,0.905,0.458,0.900390625
T1109TS399_2o,0.841,0.907,0.458,0.8046875
T1109TS350_4o,0.83,0.906,0.457,0.7099609375
T1109TS348_2o,0.837,0.903,0.457,0.87841796875
T1109TS291_4o,0.83,0.906,0.457,0.7099609375
T1109TS399_3o,0.839,0.903,0.457,0.87109375
T1109TS054_3o,0.839,0.903,0.457,0.87109375
T1109TS071_1o,0.831,0.903,0.457,0.875
T1109TS291_1o,0.829,0.906,0.457,0.7099609375
T1109TS071_3o,0.832,0.904,0.457,0.875
T1109TS071_4o,0.836,0.904,0.457,0.875
T1109TS350_1o,0.829,0.906,0.457,0.7099609375
T1109TS291_5o,0.831,0.904,0.456,0.7099609375
T1109TS494_3o,0.843,0.905,0.456,0.810546875
T1109TS385_1o,0.823,0.905,0.456,0.90869140625
T1109TS350_5o,0.831,0.904,0.456,0.7099609375
T1109TS367_1o,0.831,0.904,0.453,0.9248046875
T1109TS444_2o,0.811,0.9,0.453,0.90576171875
T1109TS158_2o,0.831,0.904,0.452,0.923828125
T1109TS086_5o,0.831,0.903,0.452,0.92529296875
T1109TS158_1o,0.831,0.904,0.452,0.92431640625
T1109TS086_3o,0.831,0.904,0.452,0.92431640625
T1109TS367_3o,0.832,0.904,0.452,0.92431640625
T1109TS086_4o,0.831,0.904,0.452,0.923828125
T1109TS086_1o,0.83,0.904,0.451,0.92041015625
T1109TS158_3o,0.83,0.904,0.451,0.92041015625
T1109TS399_4o,0.827,0.9,0.451,0.86376953125
T1109TS054_4o,0.827,0.9,0.451,0.86376953125
T1109TS367_2o,0.83,0.904,0.45,0.919921875
T1109TS086_2o,0.83,0.904,0.45,0.91943359375
T1109TS444_3o,0.809,0.901,0.449,0.9091796875
T1109TS248_1o,0.787,0.901,0.448,0.8955078125
T1109TS493_4o,0.815,0.887,0.448,0.8916015625
T1109TS314_1o,0.809,0.896,0.447,0.708984375
T1109TS314_5o,0.809,0.896,0.446,0.7080078125
T1109TS493_1o,0.811,0.892,0.445,0.8994140625
T1109TS205_4o,0.755,0.88,0.444,0.70654296875
T1109TS493_3o,0.817,0.895,0.444,0.884765625
T1109TS314_3o,0.808,0.897,0.443,0.71044921875
T1109TS399_1o,0.828,0.899,0.443,0.8662109375
T1109TS054_1o,0.828,0.899,0.443,0.8662109375
T1109TS248_3o,0.788,0.899,0.442,0.89599609375
T1109TS314_2o,0.812,0.896,0.441,0.708984375
T1109TS248_4o,0.827,0.926,0.435,0.7880859375
T1109TS035_3o,0.827,0.926,0.435,0.7880859375
T1109TS493_5o,0.803,0.885,0.428,0.8955078125
T1109TS312_4o,0.823,0.895,0.427,0.7119140625
T1109TS493_2o,0.803,0.882,0.427,0.8955078125
T1109TS312_5o,0.821,0.893,0.426,0.7119140625
T1109TS073_4o,0.727,0.878,0.423,0.88134765625
T1109TS312_1o,0.82,0.892,0.42,0.71142578125
T1109TS312_2o,0.82,0.891,0.419,0.71142578125
T1109TS312_3o,0.818,0.89,0.417,0.71142578125
T1109TS494_5o,0.655,0.85,0.404,0.7529296875
T1109TS188_1o,0.801,0.896,0.403,0.890625
T1109TS169_3o,0.801,0.896,0.403,0.890625
T1109TS188_2o,0.798,0.895,0.402,0.88525390625
T1109TS169_5o,0.798,0.895,0.402,0.88525390625
T1109TS278_3o,0.731,0.84,0.4,0.60546875
T1109TS073_3o,0.715,0.867,0.399,0.880859375
T1109TS494_2o,0.741,0.851,0.389,0.80224609375
T1109TS165_2o,0.636,0.846,0.373,0.56591796875
T1109TS073_2o,0.706,0.845,0.371,0.88037109375
T1109TS165_1o,0.649,0.856,0.37,0.56591796875
T1109TS165_4o,0.649,0.847,0.369,0.5576171875
T1109TS073_5o,0.702,0.842,0.366,0.8740234375
T1109TS205_5o,0.713,0.825,0.363,0.70703125
T1109TS165_3o,0.636,0.848,0.358,0.55908203125
T1109TS073_1o,0.705,0.851,0.357,0.87841796875
T1109TS278_4o,0.783,0.506,0.357,0.84765625
T1109TS494_4o,0.725,0.843,0.349,0.7353515625
T1109TS398_2o,0.748,0.764,0.327,0.90966796875
T1109TS398_3o,0.753,0.795,0.291,0.9111328125
T1109TS398_5o,0.736,0.677,0.195,0.91015625
T1109TS423_3o,0.652,0.498,0.064,0.73828125
T1109TS187_3o,0.652,0.498,0.064,0.73828125
T1109TS423_2o,0.676,0.496,0.054,0.76806640625
T1109TS423_1o,0.659,0.497,0.054,0.7939453125
T1109TS187_1o,0.659,0.497,0.054,0.7939453125
T1109TS187_2o,0.676,0.496,0.054,0.76806640625
T1109TS165_5o,0.193,0.241,0.048,0.5849609375
T1109TS398_4o,0.729,0.476,0.027,0.90869140625
T1109TS098_2o,0.023,0.489,0.025,0.81982421875
