model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1142TS119_2,0.814,0.773,0.673,0.74072265625
H1142TS493_3,0.752,0.638,0.281,0.73388671875
H1142TS493_2,0.758,0.637,0.27,0.732421875
H1142TS147_2,0.741,0.719,0.247,0.73974609375
H1142TS493_1,0.751,0.647,0.203,0.72998046875
H1142TS493_4,0.756,0.642,0.186,0.73486328125
H1142TS147_4,0.739,0.717,0.166,0.74072265625
H1142TS444_1,0.774,0.653,0.133,0.72802734375
H1142TS398_3,0.748,0.63,0.126,0.7294921875
H1142TS165_4,0.795,0.643,0.122,0.37451171875
H1142TS444_3,0.778,0.651,0.119,0.83642578125
H1142TS165_3,0.774,0.644,0.117,0.448974609375
H1142TS165_1,0.788,0.644,0.105,0.43408203125
H1142TS433_1,0.798,0.652,0.098,0.78076171875
H1142TS441_2,0.793,0.653,0.098,0.78173828125
H1142TS433_2,0.793,0.653,0.098,0.78173828125
H1142TS441_1,0.798,0.652,0.098,0.78076171875
H1142TS433_5,0.798,0.651,0.095,0.7802734375
H1142TS441_5,0.798,0.651,0.095,0.7802734375
H1142TS441_4,0.799,0.653,0.09,0.779296875
H1142TS433_4,0.799,0.653,0.09,0.779296875
H1142TS441_3,0.796,0.653,0.089,0.77880859375
H1142TS433_3,0.796,0.653,0.089,0.77880859375
H1142TS494_1,0.791,0.627,0.077,0.78662109375
H1142TS398_4,0.757,0.625,0.076,0.728515625
H1142TS119_4,0.796,0.655,0.076,0.7392578125
H1142TS147_3,0.738,0.64,0.06,0.740234375
H1142TS098_2,0.746,0.626,0.05,0.703125
H1142TS398_5,0.769,0.627,0.041,0.7294921875
H1142TS092_1,0.784,0.626,0.038,0.8427734375
H1142TS493_5,0.751,0.615,0.03,0.73486328125
H1142TS225_4,0.801,0.619,0.018,0.8466796875
H1142TS147_1,0.729,0.615,0.016,0.73876953125
H1142TS315_1,0.382,0.54,0.016,0.88525390625
H1142TS052_1,0.382,0.54,0.016,0.88525390625
H1142TS225_3,0.788,0.62,0.014,0.849609375
H1142TS215_4,0.776,0.612,0.013,0.7734375
H1142TS165_2,0.732,0.626,0.012,0.55322265625
H1142TS188_5,0.76,0.617,0.008,0.489013671875
H1142TS188_1,0.76,0.617,0.008,0.489013671875
H1142TS188_4,0.76,0.617,0.008,0.489013671875
H1142TS037_2,0.808,0.621,0.008,0.81689453125
H1142TS188_3,0.76,0.617,0.008,0.489013671875
H1142TS188_2,0.76,0.617,0.008,0.489013671875
H1142TS374_3,0.806,0.621,0.008,0.8212890625
H1142TS215_5,0.783,0.614,0.004,0.775390625
H1142TS225_1,0.804,0.618,0.004,0.85498046875
H1142TS037_5,0.816,0.622,0.004,0.828125
H1142TS054_5,0.805,0.614,0.003,0.720703125
H1142TS125_5,0.805,0.614,0.003,0.720703125
H1142TS494_2,0.797,0.63,0.003,0.759765625
H1142TS399_5,0.805,0.614,0.003,0.720703125
H1142TS098_4,0.809,0.616,0.002,0.732421875
H1142TS423_5,0.805,0.616,0.002,0.71533203125
H1142TS444_5,0.774,0.619,0.002,0.72802734375
H1142TS187_5,0.805,0.616,0.002,0.71533203125
H1142TS225_2,0.807,0.62,0.001,0.849609375
H1142TS439_5,0.774,0.613,0.001,0.72265625
H1142TS205_1,0.74,0.609,0.001,0.6982421875
H1142TS073_2,0.708,0.599,0.001,0.724609375
H1142TS257_3,0.701,0.607,0.001,0.7509765625
H1142TS390_5,0.809,0.616,0.0,0.72900390625
H1142TS399_3,0.803,0.612,0.0,0.7216796875
H1142TS399_4,0.806,0.614,0.0,0.7265625
H1142TS423_2,0.805,0.616,0.0,0.7158203125
H1142TS444_4,0.777,0.613,0.0,0.83251953125
H1142TS446_3,0.798,0.614,0.0,0.71923828125
H1142TS447_5,0.605,0.123,0.0,0.6884765625
H1142TS462_2,0.786,0.611,0.0,0.7802734375
H1142TS477_1,0.765,0.608,0.0,0.70166015625
H1142TS494_5,0.782,0.606,0.0,0.7724609375
H1142TS098_3,0.5,0.625,0.0,0.705078125
H1142TS131_3,0.8,0.614,0.0,0.740234375
H1142TS158_3,0.793,0.615,0.0,0.79345703125
H1142TS187_4,0.801,0.614,0.0,0.7177734375
H1142TS215_3,0.776,0.611,0.0,0.7744140625
H1142TS227_4,0.802,0.615,0.0,0.7353515625
H1142TS239_2,0.77,0.613,0.0,0.70458984375
H1142TS248_3,0.796,0.615,0.0,0.7314453125
H1142TS278_5,0.804,0.615,0.0,0.763671875
H1142TS298_4,0.806,0.614,0.0,0.744140625
H1142TS320_5,0.809,0.616,0.0,0.7294921875
H1142TS333_4,0.543,0.094,0.0,0.6259765625
H1142TS368_3,0.538,0.093,0.0,0.62109375
H1142TS374_5,0.801,0.615,0.0,0.72314453125
H1142TS398_2,0.765,0.622,0.0,0.7314453125
H1142TS399_1,0.805,0.614,0.0,0.72998046875
H1142TS439_4,0.775,0.614,0.0,0.73828125
H1142TS447_3,0.711,0.602,0.0,0.6826171875
H1142TS462_5,0.789,0.612,0.0,0.751953125
H1142TS054_3,0.803,0.612,0.0,0.7216796875
H1142TS071_5,0.758,0.607,0.0,0.67919921875
H1142TS073_4,0.71,0.591,0.0,0.70703125
H1142TS169_1,0.81,0.614,0.0,0.74072265625
H1142TS234_4,0.759,0.614,0.0,0.476806640625
H1142TS239_1,0.779,0.616,0.0,0.71142578125
H1142TS257_2,0.683,0.597,0.0,0.759765625
H1142TS298_1,0.806,0.616,0.0,0.73193359375
H1142TS320_1,0.806,0.616,0.0,0.73193359375
H1142TS374_4,0.786,0.61,0.0,0.80126953125
H1142TS423_3,0.804,0.615,0.0,0.72509765625
H1142TS447_2,0.712,0.606,0.0,0.6904296875
H1142TS003_3,0.807,0.616,0.0,0.72998046875
H1142TS003_4,0.81,0.616,0.0,0.728515625
H1142TS035_2,0.799,0.613,0.0,0.79443359375
H1142TS037_3,0.807,0.612,0.0,0.85302734375
H1142TS071_3,0.765,0.611,0.0,0.67578125
H1142TS071_4,0.765,0.611,0.0,0.68017578125
H1142TS086_1,0.793,0.615,0.0,0.81591796875
H1142TS133_2,0.802,0.614,0.0,0.740234375
H1142TS133_3,0.8,0.614,0.0,0.7197265625
H1142TS205_4,0.794,0.615,0.0,0.73828125
H1142TS248_2,0.799,0.613,0.0,0.79443359375
H1142TS320_4,0.805,0.615,0.0,0.73291015625
H1142TS374_2,0.797,0.615,0.0,0.8408203125
H1142TS399_2,0.808,0.612,0.0,0.7138671875
H1142TS462_3,0.787,0.611,0.0,0.7724609375
H1142TS165_5,0.785,0.63,0.0,0.370849609375
H1142TS205_2,0.72,0.604,0.0,0.69873046875
H1142TS205_5,0.729,0.6,0.0,0.69970703125
H1142TS227_2,0.804,0.616,0.0,0.732421875
H1142TS234_2,0.773,0.616,0.0,0.477783203125
H1142TS239_3,0.78,0.615,0.0,0.720703125
H1142TS248_4,0.788,0.608,0.0,0.71044921875
H1142TS257_1,0.701,0.603,0.0,0.7509765625
H1142TS278_3,0.776,0.608,0.0,0.7470703125
H1142TS288_1,0.802,0.617,0.0,0.73486328125
H1142TS298_2,0.805,0.615,0.0,0.728515625
H1142TS333_2,0.52,0.093,0.0,0.6435546875
H1142TS348_5,0.806,0.614,0.0,0.74560546875
H1142TS360_1,0.802,0.614,0.0,0.736328125
H1142TS367_1,0.81,0.616,0.0,0.728515625
H1142TS367_4,0.804,0.615,0.0,0.7314453125
H1142TS368_2,0.52,0.093,0.0,0.6435546875
H1142TS390_3,0.807,0.616,0.0,0.732421875
H1142TS423_1,0.803,0.614,0.0,0.72021484375
H1142TS423_4,0.801,0.614,0.0,0.7177734375
H1142TS035_1,0.798,0.616,0.0,0.71630859375
H1142TS097_2,0.757,0.611,0.0,0.7734375
H1142TS150_3,0.805,0.615,0.0,0.72998046875
H1142TS150_5,0.803,0.614,0.0,0.72705078125
H1142TS158_1,0.793,0.615,0.0,0.81591796875
H1142TS158_2,0.81,0.616,0.0,0.728515625
H1142TS158_4,0.809,0.616,0.0,0.72265625
H1142TS446_5,0.806,0.613,0.0,0.72265625
H1142TS461_3,0.798,0.614,0.0,0.71923828125
H1142TS461_4,0.804,0.614,0.0,0.69775390625
H1142TS462_1,0.787,0.612,0.0,0.77197265625
H1142TS187_3,0.804,0.615,0.0,0.72509765625
H1142TS239_5,0.776,0.614,0.0,0.7216796875
H1142TS360_4,0.805,0.614,0.0,0.7412109375
H1142TS390_4,0.805,0.615,0.0,0.73291015625
H1142TS446_2,0.803,0.615,0.0,0.7158203125
H1142TS035_3,0.796,0.615,0.0,0.7314453125
H1142TS169_2,0.81,0.614,0.0,0.73779296875
H1142TS169_3,0.81,0.614,0.0,0.73974609375
H1142TS169_5,0.809,0.614,0.0,0.73193359375
H1142TS054_4,0.806,0.614,0.0,0.7265625
H1142TS348_1,0.805,0.615,0.0,0.73291015625
H1142TS348_3,0.802,0.612,0.0,0.7255859375
H1142TS348_4,0.798,0.614,0.0,0.7333984375
H1142TS158_5,0.81,0.616,0.0,0.728515625
H1142TS180_1,0.803,0.614,0.0,0.78076171875
H1142TS180_2,0.803,0.614,0.0,0.7822265625
H1142TS180_3,0.8,0.614,0.0,0.779296875
H1142TS185_1,0.799,0.615,0.0,0.77099609375
H1142TS185_2,0.776,0.607,0.0,0.84619140625
H1142TS185_4,0.769,0.605,0.0,0.85302734375
H1142TS185_5,0.793,0.612,0.0,0.744140625
H1142TS187_1,0.803,0.614,0.0,0.72021484375
H1142TS278_4,0.788,0.612,0.0,0.77978515625
H1142TS288_4,0.776,0.616,0.0,0.71875
H1142TS227_3,0.806,0.616,0.0,0.734375
H1142TS278_2,0.792,0.61,0.0,0.78955078125
H1142TS434_5,0.803,0.614,0.0,0.7353515625
H1142TS446_1,0.8,0.613,0.0,0.7109375
H1142TS446_4,0.804,0.614,0.0,0.69775390625
H1142TS003_2,0.805,0.616,0.0,0.73095703125
H1142TS461_2,0.803,0.615,0.0,0.7158203125
H1142TS494_3,0.787,0.615,0.0,0.7490234375
H1142TS035_4,0.788,0.608,0.0,0.71044921875
H1142TS150_4,0.803,0.614,0.0,0.7294921875
H1142TS185_3,0.795,0.611,0.0,0.82080078125
H1142TS205_3,0.739,0.601,0.0,0.69921875
H1142TS037_4,0.803,0.615,0.0,0.80859375
H1142TS067_1,0.76,0.604,0.0,0.72216796875
H1142TS086_4,0.805,0.618,0.0,0.7314453125
H1142TS097_1,0.798,0.616,0.0,0.8115234375
H1142TS097_3,0.805,0.616,0.0,0.814453125
H1142TS097_4,0.757,0.614,0.0,0.78857421875
H1142TS098_1,0.805,0.616,0.0,0.70263671875
H1142TS119_1,0.798,0.614,0.0,0.73779296875
H1142TS119_3,0.794,0.614,0.0,0.73681640625
H1142TS125_1,0.805,0.614,0.0,0.72998046875
H1142TS125_2,0.808,0.612,0.0,0.7138671875
H1142TS125_3,0.803,0.612,0.0,0.7216796875
H1142TS125_4,0.806,0.614,0.0,0.7265625
H1142TS131_1,0.798,0.614,0.0,0.73779296875
H1142TS133_4,0.802,0.615,0.0,0.73583984375
H1142TS147_5,0.737,0.606,0.0,0.7392578125
H1142TS150_1,0.806,0.616,0.0,0.72900390625
H1142TS169_4,0.819,0.614,0.0,0.73876953125
H1142TS180_5,0.803,0.614,0.0,0.75732421875
H1142TS227_1,0.797,0.615,0.0,0.72607421875
H1142TS234_3,0.773,0.613,0.0,0.47509765625
H1142TS298_3,0.803,0.614,0.0,0.7421875
H1142TS320_2,0.806,0.616,0.0,0.7314453125
H1142TS333_3,0.538,0.093,0.0,0.62109375
H1142TS360_5,0.808,0.614,0.0,0.73974609375
H1142TS367_3,0.809,0.616,0.0,0.72265625
H1142TS374_1,0.804,0.614,0.0,0.796875
H1142TS398_1,0.763,0.62,0.0,0.73095703125
H1142TS494_4,0.778,0.62,0.0,0.78466796875
H1142TS003_1,0.805,0.617,0.0,0.732421875
H1142TS131_2,0.794,0.614,0.0,0.73681640625
H1142TS180_4,0.802,0.614,0.0,0.7841796875
H1142TS234_5,0.765,0.616,0.0,0.47705078125
H1142TS245_1,0.795,0.615,0.0,0.740234375
H1142TS434_1,0.797,0.615,0.0,0.72607421875
H1142TS434_2,0.804,0.616,0.0,0.732421875
H1142TS434_3,0.806,0.616,0.0,0.734375
H1142TS434_4,0.802,0.615,0.0,0.7353515625
H1142TS439_1,0.781,0.616,0.0,0.72998046875
H1142TS439_2,0.773,0.614,0.0,0.7119140625
H1142TS439_3,0.775,0.613,0.0,0.740234375
H1142TS073_3,0.709,0.588,0.0,0.705078125
H1142TS461_5,0.806,0.613,0.0,0.72265625
H1142TS239_4,0.78,0.615,0.0,0.71630859375
H1142TS098_5,0.797,0.616,0.0,0.73193359375
H1142TS278_1,0.776,0.602,0.0,0.81298828125
H1142TS150_2,0.807,0.616,0.0,0.73095703125
H1142TS187_2,0.805,0.616,0.0,0.7158203125
H1142TS348_2,0.806,0.616,0.0,0.7314453125
H1142TS360_2,0.803,0.614,0.0,0.7412109375
H1142TS133_5,0.794,0.614,0.0,0.74365234375
H1142TS086_2,0.803,0.615,0.0,0.701171875
H1142TS444_2,0.771,0.611,0.0,0.72998046875
H1142TS131_5,0.8,0.614,0.0,0.7216796875
H1142TS086_3,0.793,0.615,0.0,0.79345703125
H1142TS288_5,0.772,0.616,0.0,0.7177734375
H1142TS071_2,0.753,0.607,0.0,0.67822265625
H1142TS119_5,0.8,0.614,0.0,0.740234375
H1142TS215_2,0.783,0.615,0.0,0.7890625
H1142TS097_5,0.79,0.616,0.0,0.84619140625
H1142TS011_1,0.797,0.615,0.0,0.72607421875
H1142TS447_1,0.711,0.604,0.0,0.6904296875
H1142TS461_1,0.8,0.613,0.0,0.7109375
H1142TS447_4,0.709,0.608,0.0,0.68017578125
H1142TS011_3,0.806,0.616,0.0,0.734375
H1142TS215_1,0.776,0.614,0.0,0.78466796875
H1142TS257_4,0.684,0.596,0.0,0.7607421875
H1142TS462_4,0.787,0.611,0.0,0.76708984375
H1142TS011_2,0.804,0.616,0.0,0.732421875
H1142TS003_5,0.793,0.615,0.0,0.81591796875
H1142TS011_4,0.802,0.615,0.0,0.7353515625
H1142TS035_5,0.79,0.616,0.0,0.72314453125
H1142TS037_1,0.792,0.608,0.0,0.85400390625
H1142TS054_1,0.805,0.614,0.0,0.72998046875
H1142TS054_2,0.808,0.612,0.0,0.7138671875
H1142TS067_2,0.736,0.592,0.0,0.65625
H1142TS073_1,0.714,0.595,0.0,0.71533203125
H1142TS073_5,0.696,0.595,0.0,0.7041015625
H1142TS086_5,0.801,0.614,0.0,0.703125
H1142TS131_4,0.799,0.614,0.0,0.7392578125
H1142TS133_1,0.794,0.614,0.0,0.74365234375
H1142TS227_5,0.803,0.614,0.0,0.7353515625
H1142TS234_1,0.76,0.614,0.0,0.4765625
H1142TS248_1,0.798,0.616,0.0,0.71630859375
H1142TS248_5,0.79,0.616,0.0,0.72314453125
H1142TS257_5,0.699,0.6,0.0,0.7607421875
H1142TS288_2,0.798,0.617,0.0,0.73681640625
H1142TS288_3,0.781,0.616,0.0,0.71044921875
H1142TS298_5,0.802,0.614,0.0,0.736328125
H1142TS320_3,0.807,0.616,0.0,0.732421875
H1142TS333_1,0.549,0.093,0.0,0.60888671875
H1142TS333_5,0.544,0.094,0.0,0.6015625
H1142TS360_3,0.8,0.614,0.0,0.7392578125
H1142TS367_2,0.805,0.617,0.0,0.732421875
H1142TS367_5,0.793,0.615,0.0,0.81396484375
H1142TS368_1,0.549,0.093,0.0,0.60888671875
H1142TS368_4,0.543,0.094,0.0,0.6259765625
H1142TS368_5,0.544,0.094,0.0,0.6015625
H1142TS011_5,0.803,0.614,0.0,0.7353515625
H1142TS071_1,0.764,0.612,0.0,0.67578125
H1142TS385_1,0.795,0.615,0.0,0.740234375
H1142TS390_1,0.806,0.616,0.0,0.73193359375
