model,lDDToligo_True,lDDToligo_EnQA-MSA
T1127TS312_3o,0.866,0.70263671875
T1127TS239_1o,0.865,0.859375
T1127TS054_1o,0.893,0.8583984375
T1127TS399_1o,0.893,0.8583984375
T1127TS187_3o,0.894,0.86181640625
T1127TS423_3o,0.894,0.86181640625
T1127TS125_1o,0.893,0.8583984375
T1127TS446_4o,0.892,0.853515625
T1127TS320_1o,0.894,0.87841796875
T1127TS390_1o,0.894,0.87841796875
T1127TS201_4o,0.894,0.85693359375
T1127TS169_5o,0.892,0.86083984375
T1127TS248_1o,0.882,0.8720703125
T1127TS367_3o,0.898,0.7919921875
T1127TS304_1o,0.882,0.8720703125
T1127TS298_5o,0.89,0.859375
T1127TS035_1o,0.878,0.87353515625
T1127TS461_4o,0.892,0.853515625
T1127TS314_1o,0.894,0.87841796875
T1127TS150_1o,0.894,0.87841796875
T1127TS122_4o,0.892,0.701171875
T1127TS229_2o,0.87,0.86669921875
T1127TS298_4o,0.892,0.86572265625
T1127TS098_4o,0.891,0.9111328125
T1127TS169_2o,0.891,0.84814453125
T1127TS239_2o,0.87,0.86669921875
T1127TS046_1o,0.877,0.873046875
T1127TS098_2o,0.891,0.84814453125
T1127TS122_1o,0.9,0.70166015625
T1127TS098_3o,0.89,0.91455078125
T1127TS098_1o,0.89,0.8583984375
T1127TS461_1o,0.9,0.8671875
T1127TS367_1o,0.898,0.86767578125
T1127TS188_5o,0.89,0.91455078125
T1127TS348_3o,0.898,0.8525390625
T1127TS439_1o,0.87,0.8623046875
T1127TS239_3o,0.858,0.85693359375
T1127TS472_1o,0.902,0.85888671875
T1127TS446_1o,0.9,0.8671875
T1127TS046_3o,0.879,0.87109375
T1127TS169_1o,0.89,0.8583984375
T1127TS278_1o,0.88,0.875
T1127TS035_3o,0.879,0.87109375
T1127TS098_5o,0.89,0.91455078125
T1127TS037_1o,0.895,0.869140625
T1127TS439_5o,0.867,0.8564453125
T1127TS229_1o,0.87,0.865234375
T1127TS229_3o,0.858,0.85693359375
T1127TS201_1o,0.902,0.8681640625
T1127TS201_3o,0.895,0.8642578125
T1127TS320_5o,0.897,0.86328125
T1127TS446_2o,0.893,0.8662109375
T1127TS003_4o,0.9,0.8720703125
T1127TS367_5o,0.9,0.8720703125
T1127TS314_5o,0.897,0.86328125
T1127TS229_5o,0.864,0.873046875
T1127TS390_5o,0.897,0.86328125
T1127TS239_5o,0.864,0.873046875
T1127TS348_1o,0.897,0.86328125
T1127TS461_2o,0.893,0.8662109375
T1127TS122_2o,0.893,0.70263671875
T1127TS150_5o,0.896,0.86328125
T1127TS461_5o,0.888,0.8505859375
T1127TS446_5o,0.888,0.8505859375
T1127TS439_2o,0.865,0.865234375
T1127TS201_2o,0.897,0.8720703125
T1127TS439_4o,0.864,0.87353515625
T1127TS122_5o,0.888,0.703125
T1127TS291_5o,0.872,0.7021484375
T1127TS201_5o,0.888,0.8544921875
T1127TS439_3o,0.852,0.85009765625
T1127TS205_5o,0.888,0.85302734375
T1127TS278_3o,0.879,0.8662109375
T1127TS494_2o,0.881,0.72021484375
T1127TS444_3o,0.851,0.87890625
T1127TS304_3o,0.879,0.8720703125
T1127TS248_3o,0.879,0.8720703125
T1127TS374_1o,0.887,0.87890625
T1127TS461_3o,0.895,0.853515625
T1127TS239_4o,0.857,0.8671875
T1127TS003_3o,0.893,0.87939453125
T1127TS374_3o,0.882,0.89501953125
T1127TS229_4o,0.857,0.8671875
T1127TS446_3o,0.895,0.853515625
T1127TS367_2o,0.893,0.87939453125
T1127TS122_3o,0.895,0.703125
T1127TS169_3o,0.882,0.83837890625
T1127TS367_4o,0.892,0.87890625
T1127TS348_5o,0.894,0.845703125
T1127TS188_4o,0.882,0.83837890625
T1127TS374_2o,0.884,0.87353515625
T1127TS374_5o,0.883,0.884765625
T1127TS291_4o,0.872,0.70263671875
T1127TS125_4o,0.889,0.86474609375
T1127TS054_4o,0.889,0.86474609375
T1127TS399_4o,0.889,0.86474609375
T1127TS091_3o,0.811,0.51318359375
T1127TS399_3o,0.886,0.8466796875
T1127TS054_3o,0.886,0.8466796875
T1127TS035_4o,0.875,0.87060546875
T1127TS091_5o,0.822,0.5146484375
T1127TS348_2o,0.889,0.8466796875
T1127TS125_3o,0.886,0.8466796875
T1127TS494_1o,0.879,0.7333984375
T1127TS046_4o,0.875,0.87060546875
T1127TS360_5o,0.89,0.8486328125
T1127TS291_3o,0.874,0.70263671875
T1127TS188_1o,0.869,0.84765625
T1127TS003_5o,0.886,0.87744140625
T1127TS350_3o,0.87,0.703125
T1127TS298_3o,0.889,0.85791015625
T1127TS150_3o,0.891,0.8583984375
T1127TS245_1o,0.889,0.89697265625
T1127TS350_4o,0.869,0.70263671875
T1127TS360_2o,0.89,0.841796875
T1127TS320_3o,0.891,0.8583984375
T1127TS348_4o,0.889,0.859375
T1127TS169_4o,0.888,0.853515625
T1127TS360_1o,0.889,0.85791015625
T1127TS399_2o,0.887,0.85595703125
T1127TS298_2o,0.89,0.85595703125
T1127TS291_1o,0.873,0.703125
T1127TS374_4o,0.878,0.86328125
T1127TS360_4o,0.891,0.8583984375
T1127TS054_2o,0.887,0.85595703125
T1127TS125_2o,0.887,0.85595703125
T1127TS314_3o,0.891,0.8583984375
T1127TS390_3o,0.891,0.8583984375
T1127TS180_1o,0.887,0.9228515625
T1127TS314_2o,0.888,0.86181640625
T1127TS071_1o,0.879,0.8681640625
T1127TS180_3o,0.886,0.9228515625
T1127TS320_2o,0.888,0.86181640625
T1127TS125_5o,0.888,0.859375
T1127TS320_4o,0.886,0.86181640625
T1127TS150_2o,0.888,0.86181640625
T1127TS071_2o,0.866,0.85400390625
T1127TS091_4o,0.808,0.5068359375
T1127TS360_3o,0.89,0.85546875
T1127TS390_4o,0.886,0.86181640625
T1127TS298_1o,0.89,0.85546875
T1127TS462_3o,0.886,0.9228515625
T1127TS314_4o,0.886,0.86181640625
T1127TS071_3o,0.884,0.8583984375
T1127TS054_5o,0.888,0.859375
T1127TS390_2o,0.888,0.86181640625
T1127TS462_1o,0.887,0.9228515625
T1127TS245_4o,0.89,0.8818359375
T1127TS150_4o,0.886,0.8623046875
T1127TS245_2o,0.881,0.8857421875
T1127TS399_5o,0.888,0.859375
T1127TS245_3o,0.879,0.88330078125
T1127TS205_1o,0.871,0.8623046875
T1127TS180_2o,0.886,0.92236328125
T1127TS462_2o,0.886,0.92236328125
T1127TS462_4o,0.887,0.92138671875
T1127TS071_4o,0.876,0.8583984375
T1127TS046_2o,0.868,0.87255859375
T1127TS180_4o,0.887,0.92138671875
T1127TS462_5o,0.887,0.91943359375
T1127TS180_5o,0.887,0.91943359375
T1127TS291_2o,0.87,0.70263671875
T1127TS071_5o,0.877,0.85791015625
T1127TS091_1o,0.798,0.5078125
T1127TS147_2o,0.827,0.88525390625
T1127TS456_3o,0.886,0.88818359375
T1127TS325_4o,0.886,0.88818359375
T1127TS456_2o,0.886,0.88818359375
T1127TS456_5o,0.886,0.88818359375
T1127TS248_2o,0.865,0.87255859375
T1127TS035_2o,0.865,0.87255859375
T1127TS456_1o,0.886,0.88818359375
T1127TS325_2o,0.886,0.88818359375
T1127TS245_5o,0.875,0.900390625
T1127TS347_5o,0.886,0.88818359375
T1127TS347_4o,0.886,0.88818359375
T1127TS325_1o,0.886,0.88818359375
T1127TS347_1o,0.886,0.88818359375
T1127TS347_3o,0.886,0.88818359375
T1127TS347_2o,0.886,0.88818359375
T1127TS325_5o,0.886,0.88818359375
T1127TS325_3o,0.886,0.88818359375
T1127TS304_2o,0.865,0.87255859375
T1127TS456_4o,0.886,0.88818359375
T1127TS423_2o,0.879,0.8388671875
T1127TS187_2o,0.879,0.8388671875
T1127TS091_2o,0.801,0.51318359375
T1127TS086_2o,0.863,0.92724609375
T1127TS003_2o,0.863,0.92724609375
T1127TS423_5o,0.853,0.84130859375
T1127TS086_5o,0.862,0.9228515625
T1127TS312_2o,0.858,0.703125
T1127TS187_5o,0.853,0.84130859375
T1127TS158_2o,0.863,0.92724609375
T1127TS086_1o,0.864,0.9267578125
T1127TS350_2o,0.855,0.7041015625
T1127TS158_5o,0.862,0.9228515625
T1127TS003_1o,0.864,0.9267578125
T1127TS158_1o,0.864,0.9267578125
T1127TS158_3o,0.861,0.923828125
T1127TS086_3o,0.861,0.923828125
T1127TS350_5o,0.852,0.70361328125
T1127TS350_1o,0.852,0.70361328125
T1127TS158_4o,0.862,0.92431640625
T1127TS205_2o,0.777,0.69775390625
T1127TS312_1o,0.858,0.70263671875
T1127TS086_4o,0.862,0.92431640625
T1127TS187_1o,0.849,0.84130859375
T1127TS423_1o,0.849,0.84130859375
T1127TS248_4o,0.87,0.87353515625
T1127TS444_5o,0.854,0.85400390625
T1127TS423_4o,0.857,0.8564453125
T1127TS304_4o,0.87,0.87353515625
T1127TS187_4o,0.857,0.8564453125
T1127TS444_4o,0.829,0.86865234375
T1127TS188_2o,0.857,0.8486328125
T1127TS444_2o,0.855,0.8515625
T1127TS444_1o,0.84,0.8671875
T1127TS185_1o,0.846,0.8798828125
T1127TS185_5o,0.852,0.8896484375
T1127TS185_2o,0.854,0.875
T1127TS185_4o,0.846,0.87841796875
T1127TS205_3o,0.775,0.6982421875
T1127TS131_5o,0.832,0.84521484375
T1127TS188_3o,0.86,0.849609375
T1127TS185_3o,0.843,0.88623046875
