model,lDDToligo_True,lDDToligo_EnQA-MSA
H1151TS291_2,0.849,0.6767578125
H1151TS350_2,0.849,0.6767578125
H1151TS291_3,0.84,0.67578125
H1151TS291_4,0.841,0.67724609375
H1151TS350_3,0.84,0.67578125
H1151TS350_4,0.841,0.67724609375
H1151TS360_5,0.857,0.62939453125
H1151TS350_5,0.847,0.67578125
H1151TS180_4,0.855,0.6748046875
H1151TS360_2,0.858,0.62353515625
H1151TS291_5,0.847,0.67578125
H1151TS360_4,0.854,0.6279296875
H1151TS187_5,0.849,0.6259765625
H1151TS399_3,0.852,0.62890625
H1151TS054_3,0.852,0.62890625
H1151TS423_5,0.849,0.6259765625
H1151TS125_3,0.852,0.62890625
H1151TS071_4,0.83,0.62060546875
H1151TS180_1,0.852,0.66943359375
H1151TS462_2,0.851,0.671875
H1151TS071_3,0.849,0.623046875
H1151TS071_2,0.849,0.6259765625
H1151TS011_4,0.848,0.62939453125
H1151TS205_1,0.843,0.63623046875
H1151TS434_4,0.848,0.62939453125
H1151TS462_3,0.851,0.666015625
H1151TS462_1,0.852,0.66650390625
H1151TS462_4,0.85,0.66552734375
H1151TS462_5,0.849,0.662109375
H1151TS248_3,0.855,0.634765625
H1151TS125_1,0.848,0.63525390625
H1151TS374_4,0.855,0.63037109375
H1151TS035_5,0.855,0.630859375
H1151TS367_1,0.846,0.62939453125
H1151TS098_5,0.852,0.6318359375
H1151TS133_1,0.847,0.6357421875
H1151TS133_3,0.847,0.6357421875
H1151TS227_1,0.847,0.6357421875
H1151TS098_2,0.854,0.6318359375
H1151TS054_1,0.848,0.63525390625
H1151TS227_3,0.847,0.6357421875
H1151TS169_1,0.844,0.63623046875
H1151TS188_5,0.854,0.6318359375
H1151TS399_1,0.848,0.63525390625
H1151TS248_2,0.855,0.630859375
H1151TS169_4,0.854,0.6318359375
H1151TS035_3,0.853,0.63037109375
H1151TS248_1,0.853,0.63037109375
H1151TS248_4,0.853,0.626953125
H1151TS205_5,0.844,0.62744140625
H1151TS348_4,0.841,0.6376953125
H1151TS278_1,0.847,0.63525390625
H1151TS227_2,0.846,0.62158203125
H1151TS158_1,0.842,0.634765625
H1151TS367_2,0.844,0.63623046875
H1151TS169_5,0.851,0.63134765625
H1151TS003_3,0.842,0.634765625
H1151TS092_1,0.843,0.62060546875
H1151TS003_5,0.844,0.63623046875
H1151TS133_2,0.846,0.62158203125
H1151TS119_2,0.85,0.63330078125
H1151TS493_5,0.83,0.630859375
H1151TS461_1,0.85,0.63232421875
H1151TS086_4,0.854,0.63037109375
H1151TS298_4,0.848,0.626953125
H1151TS446_1,0.85,0.63232421875
H1151TS291_1,0.838,0.67626953125
H1151TS399_5,0.85,0.6298828125
H1151TS054_5,0.85,0.6298828125
H1151TS350_1,0.838,0.67626953125
H1151TS125_5,0.85,0.6298828125
H1151TS477_1,0.828,0.62939453125
H1151TS074_1,0.849,0.62841796875
H1151TS086_3,0.841,0.63330078125
H1151TS158_4,0.84,0.63330078125
H1151TS288_1,0.849,0.62841796875
H1151TS133_4,0.843,0.63427734375
H1151TS320_2,0.849,0.6318359375
H1151TS390_3,0.845,0.6396484375
H1151TS003_2,0.84,0.6357421875
H1151TS227_5,0.84,0.6337890625
H1151TS494_2,0.84,0.65625
H1151TS086_1,0.84,0.6357421875
H1151TS150_2,0.845,0.623046875
H1151TS390_2,0.849,0.6318359375
H1151TS133_5,0.84,0.6337890625
H1151TS227_4,0.843,0.63427734375
H1151TS348_2,0.845,0.6396484375
H1151TS119_4,0.849,0.6318359375
H1151TS158_2,0.84,0.6357421875
H1151TS320_3,0.845,0.6396484375
H1151TS360_1,0.845,0.6396484375
H1151TS125_4,0.847,0.63427734375
H1151TS054_4,0.847,0.63427734375
H1151TS399_4,0.847,0.63427734375
H1151TS086_5,0.851,0.63037109375
H1151TS367_5,0.851,0.63037109375
H1151TS003_4,0.851,0.63037109375
H1151TS158_5,0.851,0.63037109375
H1151TS493_1,0.822,0.63232421875
H1151TS493_2,0.834,0.630859375
H1151TS011_2,0.845,0.62353515625
H1151TS298_3,0.846,0.6328125
H1151TS348_3,0.848,0.63525390625
H1151TS434_2,0.845,0.62353515625
H1151TS360_3,0.848,0.63525390625
H1151TS035_1,0.841,0.634765625
H1151TS150_5,0.847,0.6181640625
H1151TS298_5,0.849,0.62744140625
H1151TS003_1,0.85,0.62890625
H1151TS158_3,0.85,0.6279296875
H1151TS434_3,0.846,0.630859375
H1151TS011_3,0.846,0.630859375
H1151TS288_5,0.839,0.6337890625
H1151TS074_5,0.839,0.6337890625
H1151TS169_2,0.85,0.63134765625
H1151TS086_2,0.85,0.634765625
H1151TS098_3,0.85,0.63134765625
H1151TS180_5,0.848,0.66259765625
H1151TS288_4,0.844,0.6181640625
H1151TS074_4,0.844,0.6181640625
H1151TS239_1,0.8,0.826171875
H1151TS180_3,0.849,0.67578125
H1151TS248_5,0.849,0.6337890625
H1151TS215_2,0.828,0.61767578125
H1151TS439_2,0.791,0.630859375
H1151TS239_2,0.791,0.63037109375
H1151TS011_5,0.843,0.63330078125
H1151TS434_5,0.843,0.63330078125
H1151TS446_4,0.851,0.63671875
H1151TS011_1,0.844,0.626953125
H1151TS434_1,0.844,0.626953125
H1151TS461_4,0.851,0.63671875
H1151TS439_3,0.789,0.7421875
H1151TS180_2,0.848,0.6689453125
H1151TS423_4,0.842,0.626953125
H1151TS239_3,0.789,0.7421875
H1151TS187_4,0.842,0.626953125
